,Unnamed: 0,Lat,Lon,GFDL Std Fugacity Detrended,SOCAT Std Fugacity Detrended,GFDL Std pH Detrended,SOCAT Std pH Detrended,GFDL Std Omega Detrended,SOCAT Std Omega Detrended,Z
0,0,-77.5,165.5,70.43974726688823,32.139,0.1118839084697606,0.053945,0.4496913147948623,0.24297,573.775390625
1,1,-77.5,166.5,72.00416214300557,39.865,0.1110225720681794,0.069021,0.447630334627605,0.30103,473.3654479980469
2,2,-77.5,167.5,79.53307069036633,60.509,0.113908913319418,0.1125,0.5169221774434876,0.51244,594.2032470703125
3,3,-77.5,173.5,67.35910703215288,58.405,0.0881864474178376,0.075302,0.3709553840509983,0.26608,575.2554321289062
4,4,-77.5,174.5,67.29475929264632,69.767,0.0881650304276647,0.092958,0.3718578391461791,0.34124,470.206787109375
5,5,-77.5,175.5,67.98705606588011,67.673,0.0892780192856907,0.098607,0.3777133899891308,0.38017,475.48211669921875
6,6,-77.5,176.5,68.9911370185341,65.583,0.0909294548785125,0.091543,0.3844113112900995,0.35063,504.0185241699219
7,7,-77.5,177.5,68.44422735938552,58.346,0.0901866042476579,0.079975,0.3845868224988393,0.30574,543.7573852539062
8,8,-77.5,178.5,67.26493141581491,36.062,0.088188233319678,0.039972,0.3761948262836155,0.13702,605.9323120117188
9,9,-77.5,179.5,64.60408057068626,72.355,0.0839794981334364,0.10596,0.3583036859006522,0.43304,638.84033203125
10,10,-77.5,180.5,62.26139776726083,25.258,0.0803202184982474,0.034951,0.3401173498879278,0.13523,649.2353515625
11,11,-77.5,181.5,62.63290858952025,40.471,0.0813992012765666,0.064055,0.3433005526351743,0.2743,610.244140625
12,12,-76.5,166.5,74.99284174734096,45.599,0.107868716606827,0.083572,0.4742064092567293,0.41555,618.3695068359375
13,13,-76.5,167.5,74.7507976268624,44.122,0.1035671278998838,0.081792,0.4575826602756171,0.39601,677.049072265625
14,14,-76.5,168.5,70.24974009732765,52.786,0.0954333462110306,0.091709,0.4282014921086298,0.40988,642.7852783203125
15,15,-76.5,169.5,67.30176248007584,69.605,0.090519836946694,0.10129,0.4126323142887761,0.43785,713.3475952148438
16,16,-76.5,170.5,65.70167448379533,79.833,0.0876867163155707,0.10902,0.3968269367609346,0.44713,680.06201171875
17,17,-76.5,171.5,62.3209747716101,68.039,0.081724532667987,0.10516,0.3688544007070025,0.47948,656.3215942382812
18,18,-76.5,172.5,55.954873989209545,64.94,0.0710675262480448,0.099017,0.3168992904507946,0.43109,625.1690673828125
19,19,-76.5,173.5,52.975576901844015,65.871,0.0658847512232701,0.098762,0.2899471630119158,0.43347,567.6876831054688
20,20,-76.5,174.5,53.12772528234369,70.788,0.0656363697862558,0.11522,0.2858903164175319,0.53823,497.58953857421875
21,21,-76.5,175.5,56.79512416720135,85.817,0.0709979850636622,0.13876,0.3087955551654079,0.62345,433.96270751953125
22,22,-76.5,177.5,58.5407011099426,44.601,0.0735414578591488,0.06407,0.3195053208430976,0.24715,375.1270751953125
23,23,-76.5,178.5,58.15605755467862,54.947,0.0728313669655818,0.085662,0.3123020449802051,0.38209,372.43170166015625
24,24,-76.5,179.5,57.4285517891955,35.5,0.0717723210330525,0.050574,0.3056579191786752,0.22202,384.81939697265625
25,25,-76.5,180.5,54.14165762926439,56.91,0.0673950063375675,0.074898,0.287449907663217,0.30203,551.6990356445312
26,26,-75.5,164.5,85.18989923466275,72.156,0.129767763186865,0.10586,0.5074978938819225,0.39348,901.6215209960938
27,27,-75.5,165.5,79.69202165244376,83.099,0.1158903955718423,0.1165,0.4879711046325016,0.48584,770.8319091796875
28,28,-75.5,166.5,71.9700310575474,69.15,0.0994992854468336,0.099753,0.4208561495630234,0.42218,614.0471801757812
29,29,-75.5,167.5,63.032888733570445,41.755,0.0833422066662444,0.064516,0.3574890651861975,0.29341,477.2071533203125
30,30,-75.5,168.5,59.071214053931705,34.326,0.0771725860686979,0.052237,0.3397316873688592,0.21611,421.100341796875
31,31,-75.5,169.5,60.750874801615744,49.842,0.0801033965351945,0.069803,0.3566704952302033,0.27899,444.0855712890625
32,32,-75.5,170.5,63.86657240624907,50.069,0.0846344685274907,0.069995,0.3720825124309156,0.29158,539.8147583007812
33,33,-75.5,171.5,61.848257843506055,44.537,0.0805063461813275,0.068861,0.3561884100178783,0.28431,566.0641479492188
34,34,-75.5,172.5,56.61474010475157,54.728,0.071388533462469,0.079267,0.3156361104541832,0.32078,534.715576171875
35,35,-74.5,165.5,80.7614815133932,51.203,0.1253786989481109,0.083224,0.471812916392336,0.39663,515.0433349609375
36,36,-74.5,166.5,74.56805992552033,80.401,0.1082678536643236,0.12166,0.4200129873559802,0.55202,744.9850463867188
37,37,-74.5,167.5,64.47982337365646,12.77,0.0885782215238576,0.018905,0.3510188322841128,0.12184,708.3893432617188
38,38,-74.5,168.5,56.59422416273607,48.861,0.0746896242912192,0.064636,0.2973493393594222,0.25134,624.2235717773438
39,39,-74.5,169.5,53.88431379880846,60.446,0.0687079159802359,0.08433,0.2691818779594284,0.27879,516.7115478515625
40,40,-74.5,170.5,55.54477206452431,43.11,0.0697803507321009,0.05883,0.2741777734782672,0.23255,441.02313232421875
41,41,-74.5,172.5,56.1755783820544,62.334,0.0702416055489262,0.089241,0.2955382658266205,0.33935,476.4004211425781
42,42,-74.5,173.5,51.94627318602964,25.304,0.0636045176705604,0.035719,0.2698987118158551,0.16303,491.7930908203125
43,43,-73.5,251.5,34.1532153900227,27.3,0.0440606477778664,0.039331,0.1995199014655845,0.14967,580.5314331054688
44,44,-72.5,173.5,25.76597842236473,22.255,0.0271987114944142,0.022735,0.0986118519326904,0.072576,545.57763671875
45,45,-71.5,172.5,30.24480720523821,21.649,0.0339543334660855,0.022145,0.1266566398252217,0.082595,1787.25634765625
46,46,-71.5,173.5,30.330898545355826,25.928,0.0342966761856833,0.028529,0.1319834357192424,0.10243,2006.0234375
47,47,-70.5,171.5,28.125284929369,33.048,0.0317273924976273,0.034074,0.1218878105742173,0.11835,2221.0078125
48,48,-70.5,172.5,26.581059911541978,28.795,0.0296705338091632,0.031238,0.1171227060757746,0.11485,2235.50634765625
49,49,-69.5,257.5,17.0612059946448,14.14,0.0195565841175478,0.013126,0.0836893943102375,0.043452,4074.168701171875
50,50,-69.5,283.5,36.71517253716281,43.937,0.0441596874217347,0.055245,0.1348223352585436,0.18478,434.33575439453125
51,51,-69.5,284.5,37.52669684409384,74.993,0.0460961063477962,0.12479,0.1351622944937612,0.46695,300.6506652832031
52,52,-68.5,77.5,61.75721057509391,71.804,0.0865616387769575,0.085555,0.3884920884787139,0.27734,444.2508239746094
53,53,-68.5,282.5,19.990353099098503,34.991,0.0222673906728636,0.037712,0.0953848078203772,0.15031,2961.110595703125
54,54,-68.5,283.5,22.395918423367107,42.623,0.0247376717645632,0.044325,0.0943353243044105,0.1641,2089.957275390625
55,55,-68.5,284.5,23.597812265630445,53.095,0.0260469544392674,0.056981,0.0892387849478369,0.21176,1089.2626953125
56,56,-68.5,285.5,23.63035272674263,52.229,0.0264006449700981,0.056546,0.0840697819199615,0.19676,530.3217163085938
57,57,-68.5,286.5,25.81566554931989,47.268,0.0303342843047958,0.05796,0.0931153307890711,0.21871,478.0880432128906
