,Lat,Lon,GFDL Std Fugacity Detrended,SOCAT Std Fugacity Detrended,GFDL Std pH Detrended,SOCAT Std pH Detrended,GFDL Std Omega Detrended,SOCAT Std Omega Detrended
0,-77.5,165.5,70.43974726688823,33.87,0.1118839084697606,0.055627,0.4496913147948623,0.2473
1,-77.5,166.5,72.00416214300557,37.207,0.11102257206817949,0.06411,0.44763033462760504,0.28289
2,-77.5,167.5,79.53307069036633,75.969,0.11390891331941803,0.12579,0.5169221774434876,0.53831
3,-77.5,173.5,67.35910703215288,59.793,0.0881864474178376,0.07484,0.37095538405099837,0.27016
4,-77.5,174.5,67.29475929264632,70.196,0.08816503042766476,0.091922,0.37185783914617915,0.3379
5,-77.5,175.5,67.98705606588011,66.177,0.08927801928569072,0.095739,0.3777133899891308,0.37036
6,-77.5,176.5,68.9911370185341,65.483,0.09092945487851256,0.088844,0.3844113112900995,0.34262
7,-77.5,177.5,68.44422735938552,54.454,0.09018660424765794,0.080942,0.3845868224988393,0.31908
8,-77.5,178.5,67.26493141581491,36.923,0.08818823331967808,0.04094,0.37619482628361556,0.13872
9,-77.5,179.5,64.60408057068626,74.041,0.08397949813343648,0.10534,0.3583036859006522,0.43041
10,-77.5,180.5,62.26139776726083,23.987,0.08032021849824748,0.033073,0.34011734988792786,0.12715
11,-77.5,181.5,62.63290858952025,40.348,0.0813992012765666,0.061602,0.3433005526351743,0.26337
12,-76.5,166.5,74.99284174734096,46.167,0.10786871660682708,0.084721,0.47420640925672936,0.43136
13,-76.5,167.5,74.7507976268624,45.483,0.10356712789988382,0.085078,0.45758266027561717,0.41277
14,-76.5,168.5,70.24974009732765,54.81,0.09543334621103068,0.091847,0.4282014921086298,0.40679
15,-76.5,169.5,67.30176248007584,72.376,0.09051983694669405,0.1035,0.41263231428877617,0.44479
16,-76.5,170.5,65.70167448379533,82.614,0.08768671631557076,0.11041,0.3968269367609346,0.44655
17,-76.5,171.5,62.3209747716101,67.072,0.08172453266798703,0.10224,0.3688544007070025,0.46731
18,-76.5,172.5,55.954873989209545,69.957,0.07106752624804487,0.10074,0.3168992904507946,0.42989
19,-76.5,173.5,52.975576901844015,65.99,0.06588475122327016,0.098418,0.28994716301191586,0.43248
20,-76.5,174.5,53.12772528234369,69.666,0.06563636978625581,0.11291,0.28589031641753193,0.52762
21,-76.5,175.5,56.79512416720135,86.1,0.07099798506366224,0.13941,0.3087955551654079,0.62678
22,-76.5,177.5,58.540701109942596,43.304,0.07354145785914881,0.065363,0.31950532084309763,0.25417
23,-76.5,178.5,58.15605755467862,54.042,0.07283136696558186,0.084151,0.31230204498020514,0.37648
24,-76.5,179.5,57.4285517891955,34.544,0.07177232103305253,0.049502,0.30565791917867524,0.2161
25,-76.5,180.5,54.14165762926439,56.17,0.06739500633756754,0.074128,0.28744990766321704,0.29972
26,-75.5,164.5,85.18989923466275,72.1,0.129767763186865,0.10281,0.5074978938819225,0.37954
27,-75.5,165.5,79.69202165244376,84.864,0.11589039557184232,0.11993,0.48797110463250165,0.51591
28,-75.5,166.5,71.9700310575474,70.108,0.09949928544683365,0.10411,0.4208561495630234,0.45951
29,-75.5,167.5,63.032888733570445,42.385,0.08334220666624444,0.066526,0.3574890651861975,0.32302
30,-75.5,168.5,59.071214053931705,33.025,0.07717258606869797,0.050291,0.3397316873688592,0.20867
31,-75.5,169.5,60.750874801615744,48.483,0.08010339653519451,0.069208,0.3566704952302033,0.27503
32,-75.5,170.5,63.86657240624907,56.466,0.08463446852749074,0.072215,0.37208251243091567,0.29665
33,-75.5,171.5,61.848257843506055,43.989,0.08050634618132758,0.06768,0.3561884100178783,0.27916
34,-75.5,172.5,56.61474010475157,55.28,0.07138853346246903,0.079432,0.31563611045418327,0.32194
35,-74.5,165.5,80.7614815133932,49.547,0.12537869894811096,0.081856,0.471812916392336,0.39449
36,-74.5,166.5,74.56805992552033,77.841,0.10826785366432362,0.12001,0.42001298735598025,0.55431
37,-74.5,167.5,64.47982337365646,11.296,0.08857822152385769,0.016258,0.3510188322841128,0.10774
38,-74.5,168.5,56.59422416273607,48.574,0.07468962429121924,0.063351,0.2973493393594222,0.24524
39,-74.5,169.5,53.88431379880846,60.907,0.06870791598023598,0.084454,0.26918187795942844,0.28059
40,-74.5,170.5,55.54477206452431,42.072,0.06978035073210098,0.058245,0.2741777734782672,0.22865
41,-74.5,172.5,56.1755783820544,60.876,0.07024160554892622,0.088478,0.2955382658266205,0.3365
42,-74.5,173.5,51.94627318602964,24.817,0.06360451767056041,0.033553,0.2698987118158551,0.15093
43,-73.5,251.5,34.1532153900227,28.025,0.044060647777866495,0.040602,0.19951990146558457,0.1528
44,-72.5,173.5,25.76597842236473,22.577,0.027198711494414225,0.023037,0.0986118519326904,0.07291
45,-71.5,172.5,30.24480720523821,21.658,0.03395433346608559,0.021988,0.1266566398252217,0.082653
46,-71.5,173.5,30.330898545355826,26.078,0.03429667618568339,0.028399,0.13198343571924243,0.10237
47,-70.5,171.5,28.125284929369,33.173,0.03172739249762738,0.034028,0.12188781057421731,0.11826
48,-70.5,172.5,26.581059911541978,28.939,0.02967053380916326,0.03129,0.1171227060757746,0.11519
49,-69.5,257.5,17.0612059946448,15.197,0.019556584117547814,0.014317,0.08368939431023756,0.049839
50,-69.5,283.5,36.71517253716281,44.89,0.04415968742173478,0.054774,0.1348223352585436,0.18362
51,-69.5,284.5,37.52669684409384,77.635,0.04609610634779628,0.1239,0.13516229449376127,0.4627
52,-68.5,77.5,61.75721057509391,66.518,0.0865616387769575,0.078904,0.38849208847871397,0.25467
53,-68.5,282.5,19.990353099098503,34.741,0.022267390672863624,0.037673,0.0953848078203772,0.15028
54,-68.5,283.5,22.395918423367107,40.036,0.024737671764563277,0.044165,0.09433532430441058,0.16309
55,-68.5,284.5,23.597812265630445,50.378,0.026046954439267467,0.056596,0.0892387849478369,0.21015
56,-68.5,285.5,23.63035272674263,51.092,0.026400644970098152,0.055432,0.08406978191996155,0.19306
57,-68.5,286.5,25.81566554931989,47.823,0.030334284304795844,0.057729,0.09311533078907118,0.21753
58,-68.5,287.5,32.36416434828139,54.337,0.04087182139206213,0.067821,0.1224716484918666,0.26158
59,-68.5,288.5,35.303434483077446,43.706,0.04613920703566337,0.051221,0.13499835821142853,0.21097
60,-68.5,289.5,43.235052931779705,7.5861,0.058699523113274615,0.0076229,0.16244033813074257,0.029471
61,-68.5,290.5,47.05149013352562,80.36,0.06649083948707776,0.10808,0.18996471951792623,0.43374
62,-68.5,291.5,49.609594214721234,92.398,0.07359885270369632,0.1472,0.22881563189922488,0.60617
63,-68.5,292.5,53.48380674015565,45.559,0.08102846455148931,0.057963,0.25246437763084356,0.24437
64,-67.5,0.5,23.253297576023847,35.507,0.025251304064357258,0.039622,0.11446530218948558,0.13486
65,-67.5,144.5,68.92447620992594,92.649,0.09781613974773849,0.11862,0.36545495311223364,0.4444
66,-67.5,284.5,17.54228436080593,33.93,0.019466063232223912,0.033997,0.08768666460437377,0.15532
67,-67.5,285.5,19.421199127207256,31.934,0.02147093432287517,0.032759,0.08725647993252636,0.15202
68,-67.5,286.5,21.17524292680414,46.076,0.024613457746075054,0.052186,0.09174793556595495,0.22356
69,-67.5,287.5,24.472331682022872,61.891,0.030500509140179904,0.076056,0.11485748428022305,0.30217
70,-67.5,288.5,27.286843551243784,72.56,0.035444957988986156,0.093144,0.1354499167713864,0.35864
71,-67.5,289.5,32.003241189283244,93.608,0.04325921540168226,0.13711,0.16181141575949348,0.60206
72,-67.5,290.5,38.406376739069024,101.19,0.054834654262429235,0.15332,0.2069155157069142,0.67695
73,-67.5,291.5,43.16747688980197,93.175,0.06273169697146203,0.14249,0.23015243410100167,0.60382
74,-67.5,292.5,49.961621283952496,57.252,0.07368422988740413,0.077927,0.23157180655868367,0.31583
75,-66.5,144.5,48.96032392352983,61.546,0.05977326718654712,0.076924,0.207637216781254,0.27534
76,-66.5,145.5,41.912574235460475,70.358,0.049337640711950445,0.085599,0.16982334495784587,0.30417
77,-66.5,286.5,15.830973504642445,30.755,0.01779333644975653,0.03552,0.08636960494556946,0.16986
78,-66.5,287.5,17.176133866071936,38.798,0.019365581406764157,0.045498,0.08844448878115627,0.1898
79,-66.5,288.5,19.098916881690545,42.049,0.021800594558521458,0.048465,0.09283228438258034,0.18815
80,-66.5,289.5,23.293068967767255,59.726,0.02765540239137779,0.075244,0.10764347702856689,0.30937
81,-66.5,290.5,32.82259222435559,49.592,0.04201631371716744,0.057221,0.15848471590641466,0.22286
82,-66.5,291.5,41.649545865926065,66.419,0.05651465244315884,0.083549,0.21088223665771832,0.32294
83,-66.5,292.5,48.13929329292697,70.367,0.06958465891821392,0.079867,0.24817696395437439,0.28945
84,-66.5,293.5,58.446148517584305,52.338,0.08683030851087045,0.055192,0.2830298570986244,0.19421
85,-66.5,294.5,63.14943069090262,100.79,0.09099900962800381,0.17954,0.3137539409344566,0.72435
86,-65.5,140.5,23.41382542718521,26.757,0.02620490310886881,0.028319,0.10769893648310791,0.10811
87,-65.5,142.5,24.143960915173928,30.325,0.02697446135557799,0.03183,0.10946259018514984,0.1193
88,-65.5,143.5,23.592720239964454,33.502,0.026265617290251595,0.033019,0.1095790219020689,0.12131
89,-65.5,144.5,22.729136616469248,23.704,0.025232242271997808,0.022172,0.10956594936002405,0.11909
90,-65.5,288.5,13.92299502881008,37.643,0.016050226076950183,0.044592,0.08541337722694496,0.1912
91,-65.5,289.5,16.114298408094676,34.717,0.018412194855453177,0.037809,0.09017033770474074,0.16816
92,-65.5,290.5,20.25637299293133,39.925,0.023571700937978175,0.047728,0.1075461596267178,0.21574
93,-65.5,291.5,27.282788718268392,59.092,0.03333943298873918,0.072486,0.14709619869726784,0.25718
94,-65.5,292.5,35.83340905199194,43.613,0.04596351340045517,0.049959,0.19607174899010488,0.20539
95,-65.5,293.5,46.08120844603647,55.042,0.06120615042650242,0.064291,0.24245632064909095,0.24378
96,-65.5,294.5,57.52277759208551,86.948,0.07583388796872338,0.12205,0.27045266825016945,0.45266
97,-65.5,295.5,68.82180472755763,102.24,0.09352044176770871,0.1541,0.3019175072833545,0.59564
98,-65.5,296.5,58.620244020024465,76.497,0.07695958604952317,0.098057,0.2881673122745458,0.36494
99,-64.5,139.5,18.314526063625937,19.618,0.020282060023136806,0.021141,0.10632888841094679,0.11186
100,-64.5,140.5,17.85694618932541,23.322,0.01982281606104128,0.024944,0.10637673728991032,0.10309
101,-64.5,141.5,17.207306746416382,21.918,0.019142052504056865,0.024019,0.10621457487993348,0.13803
102,-64.5,290.5,13.334615229603877,32.627,0.01552573023622754,0.035085,0.08648238287237742,0.15789
103,-64.5,291.5,15.299562764288478,32.031,0.017675034623414028,0.036517,0.09460589855000667,0.1537
104,-64.5,292.5,19.26935852246218,37.624,0.0224663695739488,0.044136,0.11628012544704056,0.17055
105,-64.5,293.5,27.825512979027803,18.924,0.033565599448105825,0.02166,0.15667281541891323,0.10455
106,-64.5,294.5,30.413685829571786,42.48,0.036640318162212984,0.047099,0.17102982640307088,0.19215
107,-64.5,295.5,39.158837510294624,62.046,0.048176746176861525,0.071967,0.20801072414515645,0.27286
108,-64.5,296.5,48.83888542061738,44.441,0.061683303398931924,0.045749,0.24717786344938555,0.16625
109,-64.5,297.5,58.23529205233114,37.402,0.07643377075057022,0.036988,0.2810739863656952,0.12954
110,-64.5,298.5,60.73882248190415,42.76,0.07987216367872425,0.044284,0.31229371425877195,0.17219
111,-64.5,299.5,44.55009046418798,78.566,0.059352201125001454,0.11587,0.28569225869168274,0.43663
112,-64.5,303.5,37.788708070142874,43.311,0.046667053451137634,0.053356,0.210415186909906,0.18766
113,-64.5,359.5,17.42042484447825,25.319,0.018828177834691907,0.030083,0.11290181303794183,0.14067
114,-63.5,82.5,13.63602984721532,54.313,0.015540063231149398,0.060558,0.1000779487093338,0.21107
115,-63.5,111.5,21.563851508567815,8.2002,0.024109519628272548,0.010073,0.12089585672218967,0.072631
116,-63.5,139.5,13.891145322854117,19.849,0.01537310845999306,0.021571,0.09965339667287403,0.12032
117,-63.5,293.5,12.496150185353056,28.882,0.014612077044854887,0.034559,0.08879152707452985,0.17497
118,-63.5,294.5,17.18477415438449,34.651,0.020113562181020384,0.040347,0.10867776884935237,0.19515
119,-63.5,295.5,21.391197628514703,26.059,0.025269367670286792,0.029773,0.13070473752586817,0.14864
120,-63.5,296.5,24.809777869224508,28.661,0.02924583692484131,0.032458,0.15345366163960003,0.15948
121,-63.5,297.5,29.43045554947731,19.635,0.03500701951526506,0.020284,0.17931104417982432,0.086437
122,-63.5,298.5,37.741412847401975,33.885,0.0462771684970108,0.035491,0.22241115949796886,0.15293
123,-63.5,299.5,42.09823011931953,33.93,0.05221580654551342,0.03522,0.24778000414303242,0.14592
124,-63.5,300.5,42.53806668219265,33.9,0.05265628001312223,0.036104,0.25468199865222607,0.13918
125,-63.5,301.5,42.883289621959996,48.939,0.05289444640562712,0.053848,0.24876477105156725,0.17556
126,-63.5,302.5,43.75405574011097,79.965,0.054133872100486556,0.10146,0.2470045105994285,0.37413
127,-63.5,303.5,37.12441040200744,37.552,0.04573688824723948,0.041783,0.22693112098439921,0.13685
128,-63.5,359.5,15.368735785924356,21.235,0.01667335328605144,0.023916,0.10924666960885135,0.11965
129,-62.5,139.5,9.881395222390195,23.812,0.011204515577449163,0.024922,0.0926233684814937,0.11362
130,-62.5,141.5,9.390372866548734,21.589,0.010692028990397019,0.022869,0.09267776274054011,0.094424
131,-62.5,294.5,11.888634378607307,26.32,0.013759733490906692,0.032117,0.08626792663511762,0.19464
132,-62.5,295.5,14.384268012069695,30.101,0.016723187684318956,0.034333,0.09754535025117758,0.18583
133,-62.5,296.5,16.54941584997637,24.56,0.019301328891727598,0.027065,0.11115018120178508,0.13602
